time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2018/04/09/18:37:37.436155,1102,1523324257,238753074,map,0.263519287109,-0.178985595703,0.0,0.0,0.0,-0.962787975415,0.270257866482
2018/04/09/18:37:37.605837,1103,1523324257,376475963,map,0.276000976562,-0.164257049561,0.0,0.0,0.0,-0.96462512599,0.263625428039
2018/04/09/18:37:37.742029,1104,1523324257,529917569,map,0.294261932373,-0.153842926025,0.0,0.0,0.0,-0.96480193453,0.26297761716
2018/04/09/18:37:37.878971,1105,1523324257,667821736,map,0.30982208252,-0.140621185303,0.0,0.0,0.0,-0.964639266572,0.263573681135
2018/04/09/18:37:38.030564,1106,1523324257,805852622,map,0.329479217529,-0.127513885498,0.0,0.0,0.0,-0.965170652995,0.261621120319
2018/04/09/18:37:38.197353,1107,1523324257,959325523,map,0.346649169922,-0.11644744873,0.0,0.0,0.0,-0.96436491698,0.264575711089
2018/04/09/18:37:38.330464,1108,1523324258,97110685,map,0.362823486328,-0.103630065918,0.0,0.0,0.0,-0.965124324185,0.261791976321
2018/04/09/18:37:38.454781,1109,1523324258,250929919,map,0.381782531738,-0.0898361206055,0.0,0.0,0.0,-0.966914013475,0.255102509876
2018/04/09/18:37:38.618392,1110,1523324258,388529516,map,0.391235351562,-0.0750694274902,0.0,0.0,0.0,-0.975103309589,0.221751066805
2018/04/09/18:37:38.757457,1111,1523324258,541990034,map,0.394721984863,-0.0466690063477,0.0,0.0,0.0,-0.987110991446,0.160037153705
2018/04/09/18:37:38.886106,1112,1523324258,679828092,map,0.413093566895,-0.0197639465332,0.0,0.0,0.0,-0.995672745649,0.0929289167731
2018/04/09/18:37:39.057866,1113,1523324258,817932322,map,0.433868408203,0.00620269775391,0.0,0.0,0.0,-0.999759007188,0.021952848273
2018/04/09/18:37:39.196403,1114,1523324258,971276650,map,0.447956085205,0.030590057373,0.0,0.0,0.0,0.998664200079,0.051670257221
2018/04/09/18:37:39.335609,1115,1523324259,109221523,map,0.476982116699,0.0508613586426,0.0,0.0,0.0,0.991766720672,0.128057689219
2018/04/09/18:37:39.470435,1116,1523324259,262507614,map,0.501323699951,0.0700454711914,0.0,0.0,0.0,0.976990840112,0.213281265789
2018/04/09/18:37:39.601386,1117,1523324259,400572550,map,0.533496856689,0.0914001464844,0.0,0.0,0.0,0.94994513058,0.31241678714
2018/04/09/18:37:39.758490,1118,1523324259,538385265,map,0.579345703125,0.107368469238,0.0,0.0,0.0,0.915951941225,0.401287978098
2018/04/09/18:37:39.895828,1119,1523324259,692018935,map,0.581718444824,0.10103225708,0.0,0.0,0.0,0.912179237007,0.409791458638
2018/04/09/18:37:40.030791,1120,1523324259,830063359,map,0.581981658936,0.101928710938,0.0,0.0,0.0,0.913668779044,0.406459545589
2018/04/09/18:37:40.183506,1121,1523324259,967942697,map,0.573993682861,0.115814208984,0.0,0.0,0.0,0.90970975911,0.415244691936
2018/04/09/18:37:40.328088,1122,1523324260,121286932,map,0.563163757324,0.148078918457,0.0,0.0,0.0,0.896186406658,0.44367772597
2018/04/09/18:37:40.474256,1123,1523324260,259297118,map,0.545917510986,0.187629699707,0.0,0.0,0.0,0.877972354563,0.47871133747
2018/04/09/18:37:40.615850,1124,1523324260,397293736,map,0.534843444824,0.227375030518,0.0,0.0,0.0,0.85396328254,0.520333270196
2018/04/09/18:37:40.751854,1125,1523324260,550633875,map,0.521308898926,0.252128601074,0.0,0.0,0.0,0.825743044169,0.564046474155
2018/04/09/18:37:40.909027,1126,1523324260,688778427,map,0.536975860596,0.289039611816,0.0,0.0,0.0,0.773531367498,0.633758016515
2018/04/09/18:37:41.042006,1127,1523324260,841878313,map,0.55948638916,0.321891784668,0.0,0.0,0.0,0.713714379116,0.700436853002
2018/04/09/18:37:41.196024,1128,1523324260,979810420,map,0.587749481201,0.347393035889,0.0,0.0,0.0,0.650697009905,0.759337475238
2018/04/09/18:37:41.314366,1129,1523324261,117875294,map,0.621173858643,0.357032775879,0.0,0.0,0.0,0.61027294637,0.792191221189
2018/04/09/18:37:41.457998,1130,1523324261,255888361,map,0.623039245605,0.354961395264,0.0,0.0,0.0,0.607145621689,0.794590582667
2018/04/09/18:37:41.606535,1131,1523324261,409221046,map,0.624717712402,0.360919952393,0.0,0.0,0.0,0.602866400971,0.797842153926
2018/04/09/18:37:41.752548,1132,1523324261,547425055,map,0.633781433105,0.365089416504,0.0,0.0,0.0,0.585881028255,0.810397075964
2018/04/09/18:37:41.886781,1133,1523324261,700625965,map,0.635272979736,0.36890411377,0.0,0.0,0.0,0.570840301364,0.821061112426
